자네,you (ㅈ...)
또래,"age, peer group"
세제,laundry detergent
뒷모습,one's appearance from behind
봉지,(paper/plastic) bag
국립,national
산소,oxygen
종,bell
주방,kitchen (ㅈ...)
드시다,to eat (formal) (ㄷ...)
잡수시다,to eat (formal) (ㅈ...)
주무시다,to sleep (formal)
계시다,to be in/at a location (formal)
말씀하다,to speak (formal)
드리다,to give (formal)
소변(을) 보다,to urinate
대답하다,"to answer, to reply"
치다,to tap
망치다,"spoil, to ruin, to screw up"
다가가다,"to approach, to go near"
다가오다,"to approach, to come near"
가파르다,to be steep
그저께,the day before yesterday
